recipe_name,calories,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,vitamin_a_percent,vitamin_c_percent,calcium_percent,iron_percent
Sajji,500,45,54,28,10,18,691,83,9,30,10,39
Dal Makhani,264,43,78,21,13,11,435,10,15,49,23,30
Aloo Gosht,596,24,42,30,4,13,1268,64,19,27,15,19
Sindhi Biryani,522,13,34,27,7,8,1311,3,17,42,28,21
Haleem,277,32,33,16,3,6,1475,55,12,34,20,27
Sajji,750,24,48,37,6,9,430,55,16,29,29,31
Chicken Tikka,744,28,40,17,2,12,995,17,34,31,11,39
Chicken Tikka,491,22,78,25,5,15,779,59,34,34,17,30
Paya,347,31,57,19,14,15,1267,58,24,24,20,31
Aloo Gosht,774,44,36,34,11,6,447,93,24,48,9,11
Palak Paneer,701,45,44,22,4,16,619,66,32,14,18,29
Sindhi Biryani,540,46,78,37,14,5,582,38,17,48,23,26
Nihari,384,37,64,30,12,7,893,56,11,20,10,24
Pakistani Main Course Special 14,408,37,55,31,2,11,1409,0,37,41,20,19
Haleem,226,41,40,32,11,14,419,20,30,37,10,34
Chicken Tikka,304,33,34,19,10,13,382,65,14,49,20,23
Chicken Tikka,703,37,48,21,6,5,987,51,23,7,23,24
Chicken Tikka,377,49,42,26,8,15,1306,75,32,22,18,35
Sajji,205,18,53,24,9,9,587,27,31,25,14,27
Chicken Tikka,391,46,76,24,14,18,599,79,20,55,24,38
Paya,447,20,33,16,6,6,1383,71,38,22,26,11
Karahi,494,21,47,24,12,11,1320,4,12,14,13,15
Pakistani Main Course Special 23,331,9,64,10,2,12,318,29,36,5,29,10
Karahi,624,15,39,12,2,17,235,98,8,16,19,25
Lahori Chargha,282,10,31,23,10,18,1188,35,11,26,12,24
Palak Paneer,694,23,46,31,12,13,1270,14,28,59,6,14
Pakistani Main Course Special 27,429,17,54,13,8,5,514,69,32,57,22,34
Nihari,333,24,32,19,5,12,930,54,9,48,26,24
Biryani,663,29,69,30,3,10,1454,96,29,48,13,30
Sajji,465,16,39,13,5,2,1203,0,37,35,19,11
Sindhi Biryani,704,45,74,38,4,16,1137,83,21,46,16,37
Sindhi Biryani,574,17,37,20,3,18,204,14,17,31,12,35
Nihari,669,27,55,32,5,3,1279,22,5,37,16,24
Dal Makhani,642,5,50,23,10,2,1211,9,29,46,5,35
Paya,235,12,75,29,10,19,613,46,12,58,25,15
Karahi,514,18,39,22,9,12,295,73,9,25,14,39
Aloo Gosht,638,41,41,22,6,10,1082,59,38,42,10,14
Pakistani Main Course Special 38,659,5,58,19,8,10,860,31,18,42,9,34
Dal Makhani,345,32,58,27,2,17,1463,46,30,13,10,32
Biryani,244,32,49,33,9,17,1024,5,20,6,14,31
Pakistani Main Course Special 41,793,32,69,30,3,10,642,76,37,40,13,30
Aloo Gosht,798,43,38,24,3,6,285,20,26,18,15,22
Sajji,328,44,70,18,9,9,1347,43,8,19,24,10
Lahori Chargha,638,33,72,22,6,15,1195,16,10,15,7,26
Pakistani Main Course Special 45,488,48,67,38,9,5,376,79,39,25,29,23
Pakistani Main Course Special 46,264,30,54,28,14,15,426,0,8,17,27,31
Paya,559,42,50,18,10,3,294,51,20,32,29,28
Nihari,754,17,60,17,14,18,1231,0,5,22,27,30
Chapli Kabab,463,9,74,28,6,8,243,11,13,40,25,19
Pakistani Main Course Special 50,694,40,65,25,6,16,563,72,10,40,22,30
Palak Paneer,537,45,47,26,7,19,1494,63,10,47,21,12
Pakistani Main Course Special 52,724,16,75,19,14,8,814,95,22,35,28,15
Pakistani Main Course Special 53,705,24,79,26,2,16,990,76,11,28,28,15
Seekh Kabab,507,40,52,35,8,5,902,32,32,16,14,17
Paya,403,23,69,38,6,19,1360,83,20,59,7,15
Pakistani Main Course Special 56,330,44,60,31,12,16,733,92,9,47,7,24
Pakistani Main Course Special 57,381,10,79,23,11,6,1297,0,17,53,13,22
Haleem,334,19,46,21,6,13,1299,10,35,23,15,25
Biryani,756,39,31,38,6,17,760,73,21,22,20,10
Dal Makhani,555,15,57,19,14,15,871,50,26,29,23,29
Chicken Tikka,505,11,50,26,12,9,985,42,38,49,13,29
Dal Makhani,364,49,32,31,8,19,792,14,24,17,26,31
Biryani,348,33,31,25,14,8,1223,22,34,12,9,29
Pakistani Main Course Special 64,718,47,52,34,2,6,397,79,24,59,12,28
Lahori Chargha,327,19,58,25,5,10,834,23,21,51,19,10
Lahori Chargha,413,40,54,24,2,8,309,52,37,26,7,10
Pakistani Main Course Special 67,489,41,61,20,6,5,1319,18,25,9,11,24
Haleem,201,31,40,27,6,4,400,0,12,36,13,20
Chicken Tikka,475,48,44,36,2,5,305,23,26,45,29,15
Paya,725,43,32,32,13,18,569,58,25,28,28,10
Dal Makhani,754,25,79,29,5,14,1422,67,26,40,26,33
Pakistani Main Course Special 72,693,11,45,15,10,7,1123,14,14,22,5,29
Sindhi Biryani,642,20,69,35,9,6,614,69,14,39,6,31
Sindhi Biryani,785,14,60,26,14,15,705,33,13,48,14,22
Pakistani Main Course Special 75,780,37,48,25,5,6,786,0,24,31,28,35
Korma,214,43,51,19,2,14,1412,74,31,56,21,34
Korma,465,29,77,27,4,11,737,52,5,50,21,32
Palak Paneer,750,49,34,19,14,11,1061,44,31,39,13,32
Chicken Tikka,792,12,67,22,9,5,662,0,29,45,9,20
Sajji,264,9,66,21,5,9,1196,69,11,25,13,19
Sindhi Biryani,414,26,62,24,12,9,1014,0,25,17,15,39
